CONTRACT_ID,SUPPLIER_ID,CONTRACT_START,CONTRACT_END,CURRENCY,PAYMENT_TERMS,STATUS
CON-0001,SUP-0001,2025-01-24,2027-01-24,EUR,NET90,ACTIVE
CON-0002,SUP-0002,2025-11-09,2027-11-09,USD,NET90,ACTIVE
CON-0003,SUP-0003,2025-08-01,2027-08-01,EUR,NET90,ACTIVE
CON-0004,SUP-0004,2025-09-11,2027-09-11,GBP,NET45,ACTIVE
CON-0005,SUP-0005,2025-03-17,2027-03-17,USD,NET30,ACTIVE
CON-0006,SUP-0006,2026-02-03,2028-02-03,GBP,NET45,ACTIVE
CON-0007,SUP-0007,2025-04-01,2027-04-01,GBP,NET30,ACTIVE
CON-0008,SUP-0008,2025-10-13,2027-10-13,EUR,NET30,ACTIVE
CON-0009,SUP-0009,2025-08-22,2027-08-22,EUR,NET90,ACTIVE
CON-0010,SUP-0010,2025-12-08,2027-12-08,INR,NET90,ACTIVE
CON-0011,SUP-0011,2025-11-10,2027-11-10,GBP,NET90,ACTIVE
CON-0012,SUP-0012,2026-04-05,2028-04-04,EUR,NET90,ACTIVE
CON-0013,SUP-0013,2025-08-19,2027-08-19,INR,NET45,ACTIVE
CON-0014,SUP-0014,2026-03-07,2028-03-06,INR,NET90,ACTIVE
CON-0015,SUP-0015,2025-11-17,2027-11-17,EUR,NET60,ACTIVE
CON-0016,SUP-0016,2025-08-14,2027-08-14,USD,NET60,ACTIVE
CON-0017,SUP-0017,2025-05-01,2027-05-01,INR,NET60,ACTIVE
CON-0018,SUP-0018,2025-06-13,2027-06-13,USD,NET45,ACTIVE
CON-0019,SUP-0019,2025-03-19,2027-03-19,EUR,NET90,ACTIVE
CON-0020,SUP-0020,2025-12-22,2027-12-22,EUR,NET45,ACTIVE
CON-0021,SUP-0021,2025-02-02,2027-02-02,GBP,NET90,ACTIVE
CON-0022,SUP-0022,2025-06-19,2027-06-19,GBP,NET90,ACTIVE
CON-0023,SUP-0023,2025-02-01,2027-02-01,EUR,NET90,ACTIVE
CON-0024,SUP-0024,2025-07-19,2027-07-19,USD,NET90,ACTIVE
CON-0025,SUP-0025,2025-09-02,2027-09-02,USD,NET60,ACTIVE
CON-0026,SUP-0026,2025-06-02,2027-06-02,GBP,NET90,ACTIVE
CON-0027,SUP-0027,2025-10-03,2027-10-03,EUR,NET90,ACTIVE
CON-0028,SUP-0028,2025-04-23,2027-04-23,INR,NET90,ACTIVE
CON-0029,SUP-0029,2025-09-06,2027-09-06,USD,NET90,ACTIVE
CON-0030,SUP-0030,2025-06-22,2027-06-22,GBP,NET45,ACTIVE
CON-0031,SUP-0031,2026-03-07,2028-03-06,GBP,NET45,ACTIVE
CON-0032,SUP-0032,2025-11-15,2027-11-15,USD,NET90,ACTIVE
CON-0033,SUP-0033,2025-10-31,2027-10-31,USD,NET30,ACTIVE
CON-0034,SUP-0034,2025-11-26,2027-11-26,GBP,NET45,ACTIVE
CON-0035,SUP-0035,2026-03-20,2028-03-19,GBP,NET45,ACTIVE
CON-0036,SUP-0036,2025-01-26,2027-01-26,INR,NET90,ACTIVE
CON-0037,SUP-0037,2025-06-17,2027-06-17,EUR,NET90,ACTIVE
CON-0038,SUP-0038,2025-06-17,2027-06-17,INR,NET90,ACTIVE
CON-0039,SUP-0039,2025-05-23,2027-05-23,GBP,NET60,ACTIVE
CON-0040,SUP-0040,2026-03-04,2028-03-03,USD,NET90,ACTIVE
CON-0041,SUP-0041,2025-01-10,2027-01-10,USD,NET60,ACTIVE
CON-0042,SUP-0042,2025-04-25,2027-04-25,USD,NET30,ACTIVE
CON-0043,SUP-0043,2026-01-22,2028-01-22,USD,NET45,ACTIVE
CON-0044,SUP-0044,2025-04-13,2027-04-13,USD,NET45,ACTIVE
CON-0045,SUP-0045,2025-05-03,2027-05-03,EUR,NET90,ACTIVE
CON-0046,SUP-0046,2025-12-09,2027-12-09,USD,NET45,ACTIVE
CON-0047,SUP-0047,2025-08-27,2027-08-27,INR,NET60,ACTIVE
CON-0048,SUP-0048,2025-03-27,2027-03-27,USD,NET45,ACTIVE
CON-0049,SUP-0049,2026-05-09,2028-05-08,INR,NET30,ACTIVE
CON-0050,SUP-0050,2025-10-24,2027-10-24,USD,NET60,ACTIVE
CON-0051,SUP-0051,2025-10-22,2027-10-22,GBP,NET90,ACTIVE
CON-0052,SUP-0052,2026-04-28,2028-04-27,EUR,NET30,ACTIVE
CON-0053,SUP-0053,2025-10-31,2027-10-31,EUR,NET30,ACTIVE
CON-0054,SUP-0054,2025-12-23,2027-12-23,INR,NET30,ACTIVE
CON-0055,SUP-0055,2026-02-12,2028-02-12,USD,NET60,ACTIVE
CON-0056,SUP-0056,2025-09-30,2027-09-30,GBP,NET60,ACTIVE
CON-0057,SUP-0057,2025-02-05,2027-02-05,INR,NET30,ACTIVE
CON-0058,SUP-0058,2026-03-11,2028-03-10,GBP,NET90,ACTIVE
CON-0059,SUP-0059,2025-02-24,2027-02-24,GBP,NET60,ACTIVE
CON-0060,SUP-0060,2025-11-22,2027-11-22,GBP,NET45,ACTIVE
