INVOICE_ID,PO_ID,SUPPLIER_ID,INVOICE_DATE,CURRENCY,TOTAL_AMOUNT,STATUS
INV-000001,PO-000001,SUP-0111,2026-05-20,GBP,81017.8,RECEIVED
INV-000002,PO-000002,SUP-0064,2026-02-26,EUR,75592.53,RECEIVED
INV-000003,PO-000003,SUP-0093,2026-04-27,GBP,130704.48,RECEIVED
INV-000004,PO-000004,SUP-0084,2026-09-03,EUR,49620.56,RECEIVED
INV-000005,PO-000005,SUP-0089,2026-09-12,GBP,4827.61,RECEIVED
INV-000006,PO-000006,SUP-0032,2026-06-08,EUR,102429.16,RECEIVED
INV-000007,PO-000007,SUP-0030,2026-07-02,GBP,38469.61,RECEIVED
INV-000008,PO-000008,SUP-0057,2026-06-30,GBP,45223.56,RECEIVED
INV-000009,PO-000009,SUP-0036,2026-05-31,INR,129827.58,RECEIVED
INV-000010,PO-000010,SUP-0042,2026-03-12,GBP,30518.82,RECEIVED
INV-000011,PO-000011,SUP-0102,2026-01-14,GBP,43239.48,RECEIVED
INV-000012,PO-000012,SUP-0015,2026-02-03,EUR,141966.1,RECEIVED
INV-000013,PO-000013,SUP-0028,2026-05-20,INR,142608.0,RECEIVED
INV-000014,PO-000014,SUP-0008,2026-03-22,EUR,28876.38,RECEIVED
INV-000015,PO-000015,SUP-0110,2026-02-17,USD,81262.21,RECEIVED
INV-000016,PO-000016,SUP-0102,2026-06-14,GBP,48903.83,RECEIVED
INV-000017,PO-000017,SUP-0079,2026-07-28,INR,117592.44,RECEIVED
INV-000018,PO-000018,SUP-0071,2026-04-29,INR,149196.85,RECEIVED
INV-000019,PO-000019,SUP-0048,2026-07-02,USD,138486.26,RECEIVED
INV-000020,PO-000020,SUP-0104,2026-06-16,GBP,9467.16,RECEIVED
INV-000021,PO-000021,SUP-0037,2026-05-06,INR,18706.29,RECEIVED
INV-000022,PO-000022,SUP-0029,2026-08-09,USD,84364.37,RECEIVED
INV-000023,PO-000023,SUP-0012,2026-05-01,USD,63264.96,RECEIVED
INV-000024,PO-000024,SUP-0007,2026-04-10,GBP,66745.39,RECEIVED
INV-000025,PO-000025,SUP-0001,2026-03-30,EUR,141825.95,RECEIVED
INV-000026,PO-000026,SUP-0056,2026-05-21,GBP,138213.78,RECEIVED
INV-000027,PO-000027,SUP-0011,2026-09-04,USD,46886.05,RECEIVED
INV-000028,PO-000028,SUP-0031,2026-02-21,GBP,38767.25,RECEIVED
INV-000029,PO-000029,SUP-0042,2026-03-13,GBP,66244.54,RECEIVED
INV-000030,PO-000030,SUP-0060,2026-05-11,GBP,136402.97,RECEIVED
INV-000031,PO-000031,SUP-0057,2026-04-25,INR,59053.44,RECEIVED
INV-000032,PO-000032,SUP-0017,2026-04-14,INR,84058.85,RECEIVED
INV-000033,PO-000033,SUP-0044,2026-03-02,USD,34368.19,RECEIVED
INV-000034,PO-000034,SUP-0077,2026-02-22,EUR,24755.96,RECEIVED
INV-000035,PO-000035,SUP-0065,2026-02-22,GBP,122625.24,RECEIVED
INV-000036,PO-000036,SUP-0012,2026-08-23,USD,67943.63,RECEIVED
INV-000037,PO-000037,SUP-0031,2026-01-25,GBP,56549.44,RECEIVED
INV-000038,PO-000038,SUP-0028,2026-06-20,INR,141063.78,RECEIVED
INV-000039,PO-000039,SUP-0031,2026-07-15,GBP,119187.92,RECEIVED
INV-000040,PO-000040,SUP-0081,2026-08-02,INR,21964.74,RECEIVED
INV-000041,PO-000041,SUP-0024,2026-05-22,USD,146210.85,RECEIVED
INV-000042,PO-000042,SUP-0048,2026-07-18,USD,2928.21,RECEIVED
INV-000043,PO-000043,SUP-0081,2026-08-28,INR,20660.46,RECEIVED
INV-000044,PO-000044,SUP-0041,2026-06-14,USD,60034.5,RECEIVED
INV-000045,PO-000045,SUP-0024,2026-07-17,GBP,74879.75,RECEIVED
INV-000046,PO-000046,SUP-0070,2026-04-16,INR,15838.39,RECEIVED
INV-000047,PO-000047,SUP-0010,2026-04-17,INR,77206.36,RECEIVED
INV-000048,PO-000048,SUP-0031,2026-04-08,GBP,57736.73,RECEIVED
INV-000049,PO-000049,SUP-0041,2026-03-09,USD,144097.75,RECEIVED
INV-000050,PO-000050,SUP-0089,2026-02-28,GBP,18834.29,RECEIVED
INV-000051,PO-000051,SUP-0031,2026-02-02,GBP,54454.03,RECEIVED
INV-000052,PO-000052,SUP-0113,2026-08-15,INR,144956.56,RECEIVED
INV-000053,PO-000053,SUP-0042,2026-04-20,USD,142148.73,RECEIVED
INV-000054,PO-000054,SUP-0081,2026-07-12,USD,80254.97,RECEIVED
INV-000055,PO-000055,SUP-0011,2026-07-03,GBP,115767.84,RECEIVED
INV-000056,PO-000056,SUP-0039,2026-02-01,GBP,103447.73,RECEIVED
INV-000057,PO-000057,SUP-0016,2026-05-05,EUR,37563.87,RECEIVED
INV-000058,PO-000058,SUP-0105,2026-09-20,GBP,86864.21,RECEIVED
INV-000059,PO-000059,SUP-0065,2026-03-28,GBP,32664.09,RECEIVED
INV-000060,PO-000060,SUP-0037,2026-08-16,EUR,16570.81,RECEIVED
INV-000061,PO-000061,SUP-0036,2026-03-02,INR,146274.88,RECEIVED
INV-000062,PO-000062,SUP-0059,2026-06-16,GBP,134023.19,RECEIVED
INV-000063,PO-000063,SUP-0043,2026-02-20,GBP,146994.76,RECEIVED
INV-000064,PO-000064,SUP-0074,2026-08-06,EUR,8177.6,RECEIVED
INV-000065,PO-000065,SUP-0041,2026-02-24,USD,62237.54,RECEIVED
INV-000066,PO-000066,SUP-0079,2026-03-11,INR,143621.94,RECEIVED
INV-000067,PO-000067,SUP-0049,2026-08-10,INR,52097.63,RECEIVED
INV-000068,PO-000068,SUP-0018,2026-06-25,USD,111263.2,RECEIVED
INV-000069,PO-000069,SUP-0001,2026-05-18,EUR,98107.47,RECEIVED
INV-000070,PO-000070,SUP-0113,2026-01-12,INR,45109.64,RECEIVED
INV-000071,PO-000071,SUP-0092,2026-01-25,INR,110624.38,RECEIVED
INV-000072,PO-000072,SUP-0062,2026-09-16,GBP,37583.04,RECEIVED
INV-000073,PO-000073,SUP-0089,2026-07-04,INR,137461.49,RECEIVED
INV-000074,PO-000074,SUP-0098,2026-07-02,USD,113333.56,RECEIVED
INV-000075,PO-000075,SUP-0116,2026-08-07,EUR,8817.55,RECEIVED
INV-000076,PO-000076,SUP-0037,2026-03-17,INR,115461.32,RECEIVED
INV-000077,PO-000077,SUP-0107,2026-08-04,EUR,3898.93,RECEIVED
INV-000078,PO-000078,SUP-0013,2026-05-01,INR,89868.84,RECEIVED
