ORDER_ID,PO_ID,CUSTOMER_ID,ORDER_DATE,ORDER_AMOUNT,STATUS
ORD-000001-1,PO-000001,CUST-01866,2026-05-03,20254.45,OPEN
ORD-000001-2,PO-000001,CUST-00957,2026-04-28,20254.45,OPEN
ORD-000001-3,PO-000001,CUST-01562,2026-04-30,20254.45,OPEN
ORD-000002-1,PO-000002,CUST-02155,2026-02-09,75592.53,OPEN
ORD-000003-1,PO-000003,CUST-01387,2026-04-22,43568.16,OPEN
ORD-000004-1,PO-000004,CUST-02217,2026-08-17,12405.14,OPEN
ORD-000004-2,PO-000004,CUST-01178,2026-08-08,24810.28,OPEN
ORD-000004-3,PO-000004,CUST-00412,2026-08-13,49620.56,OPEN
ORD-000005-1,PO-000005,CUST-01536,2026-08-24,1609.2,OPEN
ORD-000006-1,PO-000006,CUST-02497,2026-05-27,102429.16,OPEN
ORD-000006-2,PO-000006,CUST-02039,2026-06-04,51214.58,OPEN
ORD-000007-1,PO-000007,CUST-02239,2026-06-20,12823.2,OPEN
ORD-000008-1,PO-000008,CUST-00816,2026-06-07,15074.52,OPEN
ORD-000008-2,PO-000008,CUST-01563,2026-06-01,22611.78,OPEN
ORD-000008-3,PO-000008,CUST-01210,2026-06-09,15074.52,OPEN
ORD-000009-1,PO-000009,CUST-02487,2026-05-29,64913.79,OPEN
ORD-000009-2,PO-000009,CUST-01027,2026-06-04,64913.79,OPEN
ORD-000009-3,PO-000009,CUST-00162,2026-06-04,129827.58,OPEN
ORD-000009-4,PO-000009,CUST-00539,2026-05-25,43275.86,OPEN
ORD-000010-1,PO-000010,CUST-01974,2026-02-16,10172.94,OPEN
ORD-000010-2,PO-000010,CUST-00309,2026-02-15,7629.7,OPEN
ORD-000010-3,PO-000010,CUST-02283,2026-02-24,7629.7,OPEN
ORD-000011-1,PO-000011,CUST-02395,2026-01-09,13345.52,OPEN
ORD-000011-2,PO-000011,CUST-01932,2026-01-05,20018.28,OPEN
ORD-000011-3,PO-000011,CUST-02499,2026-01-12,13345.52,OPEN
ORD-000011-4,PO-000011,CUST-01238,2026-01-14,10009.14,OPEN
ORD-000012-1,PO-000012,CUST-00962,2026-01-13,141966.1,OPEN
ORD-000012-2,PO-000012,CUST-01520,2026-01-18,35491.53,OPEN
ORD-000012-3,PO-000012,CUST-01700,2026-01-18,70983.05,OPEN
ORD-000012-4,PO-000012,CUST-01146,2026-01-19,35491.53,OPEN
ORD-000013-1,PO-000013,CUST-02231,2026-05-04,47536.0,OPEN
ORD-000014-1,PO-000014,CUST-02446,2026-03-13,14438.19,OPEN
ORD-000014-2,PO-000014,CUST-00516,2026-03-17,14438.19,OPEN
ORD-000014-3,PO-000014,CUST-02402,2026-03-13,14438.19,OPEN
ORD-000014-4,PO-000014,CUST-02442,2026-03-17,14438.19,OPEN
ORD-000015-1,PO-000015,CUST-00540,2026-02-13,81262.21,OPEN
ORD-000016-1,PO-000016,CUST-01725,2026-05-31,24451.92,OPEN
ORD-000016-2,PO-000016,CUST-01837,2026-06-01,12225.96,OPEN
ORD-000016-3,PO-000016,CUST-01852,2026-06-09,48903.83,OPEN
ORD-000017-1,PO-000017,CUST-00250,2026-07-16,117592.44,OPEN
ORD-000017-2,PO-000017,CUST-02009,2026-07-12,117592.44,OPEN
ORD-000017-3,PO-000017,CUST-01320,2026-07-07,117592.44,OPEN
ORD-000017-4,PO-000017,CUST-01127,2026-07-07,58796.22,OPEN
ORD-000018-1,PO-000018,CUST-00407,2026-04-16,37299.21,OPEN
ORD-000018-2,PO-000018,CUST-01762,2026-04-18,74598.43,OPEN
ORD-000018-3,PO-000018,CUST-01858,2026-04-14,49732.28,OPEN
ORD-000018-4,PO-000018,CUST-01749,2026-04-09,49732.28,OPEN
ORD-000019-1,PO-000019,CUST-01769,2026-06-26,138486.26,OPEN
ORD-000020-1,PO-000020,CUST-01733,2026-05-29,3155.72,OPEN
ORD-000021-1,PO-000021,CUST-00919,2026-04-03,3997.07,OPEN
ORD-000021-2,PO-000021,CUST-00471,2026-04-09,5329.43,OPEN
ORD-000022-1,PO-000022,CUST-01120,2026-08-05,42182.18,OPEN
ORD-000022-2,PO-000022,CUST-00026,2026-08-10,28121.46,OPEN
ORD-000022-3,PO-000022,CUST-00286,2026-08-14,21091.09,OPEN
ORD-000023-1,PO-000023,CUST-01329,2026-04-12,21088.32,OPEN
ORD-000023-2,PO-000023,CUST-00638,2026-04-08,63264.96,OPEN
ORD-000024-1,PO-000024,CUST-01697,2026-03-20,16686.35,OPEN
ORD-000024-2,PO-000024,CUST-01414,2026-03-19,66745.39,OPEN
ORD-000024-3,PO-000024,CUST-02159,2026-03-15,16686.35,OPEN
ORD-000024-4,PO-000024,CUST-01619,2026-03-11,33372.69,OPEN
ORD-000025-1,PO-000025,CUST-00492,2026-03-23,47275.32,OPEN
ORD-000025-2,PO-000025,CUST-00530,2026-03-25,70912.98,OPEN
ORD-000025-3,PO-000025,CUST-00296,2026-03-22,47275.32,OPEN
ORD-000026-1,PO-000026,CUST-01711,2026-05-07,34553.44,OPEN
ORD-000026-2,PO-000026,CUST-01331,2026-05-04,138213.78,OPEN
ORD-000026-3,PO-000026,CUST-00361,2026-05-05,46071.26,OPEN
ORD-000026-4,PO-000026,CUST-02413,2026-05-01,34553.44,OPEN
ORD-000027-1,PO-000027,CUST-00313,2026-08-16,23443.03,OPEN
ORD-000027-2,PO-000027,CUST-01432,2026-08-19,23443.03,OPEN
ORD-000028-1,PO-000028,CUST-00726,2026-02-17,38767.25,OPEN
ORD-000028-2,PO-000028,CUST-02313,2026-02-14,9691.81,OPEN
ORD-000029-1,PO-000029,CUST-01126,2026-02-18,22081.51,OPEN
ORD-000029-2,PO-000029,CUST-01272,2026-02-13,66244.54,OPEN
ORD-000029-3,PO-000029,CUST-01511,2026-02-08,66244.54,OPEN
ORD-000029-4,PO-000029,CUST-02434,2026-02-18,66244.54,OPEN
ORD-000030-1,PO-000030,CUST-02054,2026-05-05,34100.74,OPEN
ORD-000030-2,PO-000030,CUST-01407,2026-05-03,136402.97,OPEN
ORD-000030-3,PO-000030,CUST-00161,2026-05-04,68201.49,OPEN
ORD-000031-1,PO-000031,CUST-02449,2026-04-10,18747.12,OPEN
ORD-000031-2,PO-000031,CUST-00388,2026-04-05,18747.12,OPEN
ORD-000031-3,PO-000031,CUST-02469,2026-04-08,18747.12,OPEN
ORD-000031-4,PO-000031,CUST-01433,2026-04-05,28120.69,OPEN
ORD-000032-1,PO-000032,CUST-01735,2026-03-31,84058.85,OPEN
ORD-000032-2,PO-000032,CUST-01266,2026-03-21,28019.62,OPEN
ORD-000033-1,PO-000033,CUST-00415,2026-02-20,11456.06,OPEN
ORD-000033-2,PO-000033,CUST-01380,2026-02-27,34368.19,OPEN
ORD-000034-1,PO-000034,CUST-01493,2026-02-09,6188.99,OPEN
ORD-000034-2,PO-000034,CUST-01839,2026-02-16,8251.99,OPEN
ORD-000034-3,PO-000034,CUST-01922,2026-02-12,8251.99,OPEN
ORD-000034-4,PO-000034,CUST-01892,2026-02-19,6188.99,OPEN
ORD-000035-1,PO-000035,CUST-01521,2026-02-11,30656.31,OPEN
ORD-000035-2,PO-000035,CUST-01168,2026-02-19,122625.24,OPEN
ORD-000035-3,PO-000035,CUST-02103,2026-02-15,30656.31,OPEN
ORD-000036-1,PO-000036,CUST-01624,2026-08-04,67943.63,OPEN
ORD-000037-1,PO-000037,CUST-00599,2026-01-22,18849.81,OPEN
ORD-000037-2,PO-000037,CUST-00569,2026-01-25,14137.36,OPEN
ORD-000037-3,PO-000037,CUST-00325,2026-01-28,56549.44,OPEN
ORD-000038-1,PO-000038,CUST-01234,2026-05-25,70531.89,OPEN
ORD-000039-1,PO-000039,CUST-02445,2026-06-14,29796.98,OPEN
ORD-000040-1,PO-000040,CUST-00986,2026-07-12,7321.58,OPEN
ORD-000041-1,PO-000041,CUST-00179,2026-05-21,36552.71,OPEN
ORD-000042-1,PO-000042,CUST-02384,2026-07-14,2928.21,OPEN
ORD-000042-2,PO-000042,CUST-01444,2026-07-13,2928.21,OPEN
ORD-000042-3,PO-000042,CUST-01904,2026-07-21,1464.11,OPEN
ORD-000043-1,PO-000043,CUST-00180,2026-07-31,10330.23,OPEN
ORD-000044-1,PO-000044,CUST-01172,2026-05-12,30017.25,OPEN
ORD-000044-2,PO-000044,CUST-01120,2026-05-22,20011.5,OPEN
ORD-000044-3,PO-000044,CUST-01802,2026-05-18,15008.62,OPEN
ORD-000045-1,PO-000045,CUST-01764,2026-07-03,74879.75,OPEN
ORD-000046-1,PO-000046,CUST-02469,2026-03-28,3959.6,OPEN
ORD-000046-2,PO-000046,CUST-01440,2026-03-26,3959.6,OPEN
ORD-000046-3,PO-000046,CUST-01125,2026-03-29,3959.6,OPEN
ORD-000047-1,PO-000047,CUST-00143,2026-04-06,19301.59,OPEN
ORD-000048-1,PO-000048,CUST-01520,2026-04-13,14434.18,OPEN
ORD-000048-2,PO-000048,CUST-02169,2026-04-04,28868.37,OPEN
ORD-000049-1,PO-000049,CUST-02301,2026-03-12,36024.44,OPEN
ORD-000049-2,PO-000049,CUST-00879,2026-03-09,36024.44,OPEN
ORD-000050-1,PO-000050,CUST-00360,2026-02-23,4708.57,OPEN
ORD-000050-2,PO-000050,CUST-00266,2026-03-03,6278.1,OPEN
ORD-000050-3,PO-000050,CUST-00646,2026-02-25,6278.1,OPEN
ORD-000050-4,PO-000050,CUST-00498,2026-02-26,9417.15,OPEN
ORD-000051-1,PO-000051,CUST-00354,2026-01-15,27227.01,OPEN
ORD-000051-2,PO-000051,CUST-02154,2026-01-13,13613.51,OPEN
ORD-000051-3,PO-000051,CUST-00514,2026-01-16,54454.03,OPEN
ORD-000051-4,PO-000051,CUST-02120,2026-01-14,13613.51,OPEN
ORD-000052-1,PO-000052,CUST-01246,2026-07-17,72478.28,OPEN
ORD-000053-1,PO-000053,CUST-02257,2026-04-03,71074.37,OPEN
ORD-000054-1,PO-000054,CUST-00702,2026-06-16,40127.49,OPEN
ORD-000054-2,PO-000054,CUST-02309,2026-06-16,26751.66,OPEN
ORD-000055-1,PO-000055,CUST-00125,2026-06-23,28941.96,OPEN
ORD-000055-2,PO-000055,CUST-01979,2026-06-18,38589.28,OPEN
ORD-000056-1,PO-000056,CUST-01903,2026-01-25,25861.93,OPEN
ORD-000056-2,PO-000056,CUST-01281,2026-01-28,51723.86,OPEN
ORD-000056-3,PO-000056,CUST-00536,2026-01-24,25861.93,OPEN
ORD-000056-4,PO-000056,CUST-01308,2026-01-27,103447.73,OPEN
ORD-000057-1,PO-000057,CUST-01713,2026-04-30,9390.97,OPEN
ORD-000058-1,PO-000058,CUST-02109,2026-08-30,21716.05,OPEN
ORD-000058-2,PO-000058,CUST-00095,2026-09-01,21716.05,OPEN
ORD-000059-1,PO-000059,CUST-02028,2026-03-03,10888.03,OPEN
ORD-000060-1,PO-000060,CUST-01499,2026-08-10,4142.7,OPEN
ORD-000060-2,PO-000060,CUST-01485,2026-08-05,8285.41,OPEN
ORD-000060-3,PO-000060,CUST-02066,2026-08-06,4142.7,OPEN
ORD-000061-1,PO-000061,CUST-00591,2026-02-07,48758.29,OPEN
ORD-000061-2,PO-000061,CUST-02049,2026-02-10,36568.72,OPEN
ORD-000061-3,PO-000061,CUST-01365,2026-02-02,73137.44,OPEN
ORD-000062-1,PO-000062,CUST-00666,2026-06-14,44674.4,OPEN
ORD-000062-2,PO-000062,CUST-02078,2026-06-09,44674.4,OPEN
ORD-000062-3,PO-000062,CUST-01946,2026-06-12,44674.4,OPEN
ORD-000063-1,PO-000063,CUST-01088,2026-02-07,36748.69,OPEN
ORD-000064-1,PO-000064,CUST-00606,2026-07-12,2044.4,OPEN
ORD-000064-2,PO-000064,CUST-00782,2026-07-04,8177.6,OPEN
ORD-000065-1,PO-000065,CUST-00256,2026-02-16,15559.39,OPEN
ORD-000065-2,PO-000065,CUST-02298,2026-02-16,31118.77,OPEN
ORD-000065-3,PO-000065,CUST-01286,2026-02-16,15559.39,OPEN
ORD-000065-4,PO-000065,CUST-02238,2026-02-16,20745.85,OPEN
ORD-000066-1,PO-000066,CUST-01184,2026-02-22,47873.98,OPEN
ORD-000066-2,PO-000066,CUST-01966,2026-02-26,47873.98,OPEN
ORD-000066-3,PO-000066,CUST-00500,2026-02-23,47873.98,OPEN
ORD-000067-1,PO-000067,CUST-00324,2026-07-29,17365.88,OPEN
ORD-000067-2,PO-000067,CUST-01963,2026-08-08,17365.88,OPEN
ORD-000067-3,PO-000067,CUST-02303,2026-08-06,17365.88,OPEN
ORD-000068-1,PO-000068,CUST-00954,2026-06-07,55631.6,OPEN
ORD-000068-2,PO-000068,CUST-01935,2026-06-13,37087.73,OPEN
ORD-000069-1,PO-000069,CUST-01177,2026-04-25,49053.74,OPEN
ORD-000069-2,PO-000069,CUST-00367,2026-04-25,98107.47,OPEN
ORD-000069-3,PO-000069,CUST-00718,2026-04-18,98107.47,OPEN
ORD-000069-4,PO-000069,CUST-02030,2026-04-15,24526.87,OPEN
ORD-000070-1,PO-000070,CUST-02226,2026-01-07,11277.41,OPEN
ORD-000070-2,PO-000070,CUST-01118,2026-01-05,11277.41,OPEN
ORD-000070-3,PO-000070,CUST-01880,2026-01-08,22554.82,OPEN
ORD-000071-1,PO-000071,CUST-01752,2026-01-06,27656.1,OPEN
ORD-000071-2,PO-000071,CUST-00391,2026-01-05,27656.1,OPEN
ORD-000072-1,PO-000072,CUST-01094,2026-08-31,9395.76,OPEN
ORD-000072-2,PO-000072,CUST-01072,2026-09-06,37583.04,OPEN
