PO_ID,SUPPLIER_ID,CONTRACT_ID,PO_DATE,CURRENCY,TOTAL_AMOUNT,STATUS
PO-000001,SUP-0111,CON-0111,2026-04-25,GBP,81017.8,OPEN
PO-000002,SUP-0064,CON-0064,2026-02-02,EUR,75592.53,OPEN
PO-000003,SUP-0093,CON-0093,2026-04-15,GBP,130704.48,OPEN
PO-000004,SUP-0084,CON-0084,2026-08-07,EUR,49620.56,OPEN
PO-000005,SUP-0089,CON-0121,2026-08-20,GBP,4827.61,OPEN
PO-000006,SUP-0032,CON-0146,2026-05-25,EUR,102429.16,OPEN
PO-000007,SUP-0030,CON-0030,2026-06-13,GBP,38469.61,OPEN
PO-000008,SUP-0057,CON-0139,2026-05-31,GBP,45223.56,OPEN
PO-000009,SUP-0036,CON-0036,2026-05-25,INR,129827.58,OPEN
PO-000010,SUP-0042,CON-0134,2026-02-14,GBP,30518.82,OPEN
PO-000011,SUP-0102,CON-0102,2026-01-04,GBP,40036.56,OPEN
PO-000012,SUP-0015,CON-0015,2026-01-12,EUR,141966.1,OPEN
PO-000013,SUP-0028,CON-0028,2026-04-24,INR,142608.0,OPEN
PO-000014,SUP-0008,CON-0008,2026-03-12,EUR,28876.38,OPEN
PO-000015,SUP-0110,CON-0110,2026-02-03,USD,81262.21,OPEN
PO-000016,SUP-0102,CON-0102,2026-05-31,GBP,48903.83,OPEN
PO-000017,SUP-0079,CON-0079,2026-07-06,INR,117592.44,OPEN
PO-000018,SUP-0071,CON-0071,2026-04-08,INR,149196.85,OPEN
PO-000019,SUP-0048,CON-0048,2026-06-25,USD,138486.26,OPEN
PO-000020,SUP-0104,CON-0104,2026-05-23,GBP,9467.16,OPEN
PO-000021,SUP-0037,CON-0150,2026-04-01,INR,15988.28,OPEN
PO-000022,SUP-0029,CON-0029,2026-08-05,USD,84364.37,OPEN
PO-000023,SUP-0012,CON-0125,2026-04-07,USD,63264.96,OPEN
PO-000024,SUP-0007,CON-0007,2026-03-11,GBP,66745.39,OPEN
PO-000025,SUP-0001,CON-0001,2026-03-19,EUR,141825.95,OPEN
PO-000026,SUP-0056,CON-0056,2026-04-28,GBP,138213.78,OPEN
PO-000027,SUP-0011,CON-0123,2026-08-11,USD,46886.05,OPEN
PO-000028,SUP-0031,CON-0031,2026-02-07,GBP,38767.25,OPEN
PO-000029,SUP-0042,CON-0134,2026-02-08,GBP,66244.54,OPEN
PO-000030,SUP-0060,CON-0060,2026-04-26,GBP,136402.97,OPEN
PO-000031,SUP-0057,CON-0057,2026-04-04,INR,56241.37,OPEN
PO-000032,SUP-0017,CON-0017,2026-03-21,INR,84058.85,OPEN
PO-000033,SUP-0044,CON-0044,2026-02-19,USD,34368.19,OPEN
PO-000034,SUP-0077,CON-0077,2026-02-09,EUR,24755.96,OPEN
PO-000035,SUP-0065,CON-0122,2026-02-11,GBP,122625.24,OPEN
PO-000036,SUP-0012,CON-0125,2026-07-29,USD,67943.63,OPEN
PO-000037,SUP-0031,CON-0031,2026-01-21,GBP,56549.44,OPEN
PO-000038,SUP-0028,CON-0028,2026-05-21,INR,141063.78,OPEN
PO-000039,SUP-0031,CON-0031,2026-06-13,GBP,119187.92,OPEN
PO-000040,SUP-0081,CON-0081,2026-07-03,INR,21964.74,OPEN
PO-000041,SUP-0024,CON-0024,2026-05-15,USD,146210.85,OPEN
PO-000042,SUP-0048,CON-0048,2026-07-11,USD,2928.21,OPEN
PO-000043,SUP-0081,CON-0081,2026-07-27,INR,20660.46,OPEN
PO-000044,SUP-0041,CON-0041,2026-05-12,USD,60034.5,OPEN
PO-000045,SUP-0024,CON-0128,2026-06-27,GBP,74879.75,OPEN
PO-000046,SUP-0070,CON-0070,2026-03-24,INR,15838.39,OPEN
PO-000047,SUP-0010,CON-0010,2026-04-04,INR,77206.36,OPEN
PO-000048,SUP-0031,CON-0031,2026-04-03,GBP,57736.73,OPEN
PO-000049,SUP-0041,CON-0041,2026-03-05,USD,144097.75,OPEN
PO-000050,SUP-0089,CON-0121,2026-02-21,GBP,18834.29,OPEN
PO-000051,SUP-0031,CON-0031,2026-01-07,GBP,54454.03,OPEN
PO-000052,SUP-0113,CON-0113,2026-07-16,INR,144956.56,OPEN
